file:///abnl/?adsdata=qOiEh23BgSiGG21adVLzVDIw6Btq8p^TRRxJm3YG2EtFnT3EFEclv!2TSYLHyx3TXOl8vupEB9haAQQy3xDl^8AvcvZJBt4jYiWfHQ9o			URL is not valid
file:///abnl/?adsdata=1VrEWO34EM;993RADCxry;v0Pu7Tb8gYmEXBCRZn2ZtaFMXufHCbcMsGAHFVV;y;4JZ44QgqtzqAXyL6VuxIPybuCCHAvj455jH3			URL is not valid
http://localhost/			URL is not valid
file:///abnl/?adsdata=mANQ6Pjqr7;h7NTVSD5^D2ajR77u2qA!v74ycYukpNt9ykWM341wHXD6Uf!vqmL;v6GIT^6T2zaBSuxVxELl!qXejjrmP7ZbiuYfzVbc			URL is not valid
http://adswebsearchredirect.com/ads/stat.php	4	67	2016-06-10 01:58:16	Websense ThreatSeeker:malicious site Sophos:malicious site Sucuri SiteCheck:malicious site Fortinet:malware site
http://kvmchjinmu.ce.ms/count13.php	5	67	2016-06-13 03:43:10	Kaspersky:malware site AutoShun:malicious site Avira:malware site Sophos:malicious site Fortinet:malware site
http://nqtydsxx.ce.ms/count13.php	3	67	2016-07-02 13:07:36	AutoShun:malicious site Avira:malware site Sophos:malicious site
http://www.scuolamediafalbert.it/files/clk.php	1	68	2016-11-20 05:40:52	Dr.Web:malicious site
http://dlylxoca.ce.ms/count13.php	4	67	2016-06-03 08:45:31	Kaspersky:malware site Avira:malware site Sophos:malicious site Fortinet:malware site
http://slidesms.com/beta/widget/widget.php	1	67	2016-05-29 12:26:54	BitDefender:phishing site
http://rfemfxnm.cz.cc/count23.php	5	67	2016-06-10 00:16:56	Websense ThreatSeeker:malicious site AutoShun:malicious site Sophos:malicious site Yandex Safebrowsing:malware site Fortinet:malware site
http://dobekrallyfoto.cba.pl/forum/relay.php	2	64	2017-02-23 06:54:51	Sucuri SiteCheck:malicious site ZeroCERT:malicious site
http://universalhartland.com/rel.php	0	67	2016-06-07 04:27:30	
http://sokhxokonz.ce.ms/count13.php	5	67	2016-06-13 03:42:59	Kaspersky:malware site AutoShun:malicious site Avira:malware site Sophos:malicious site Fortinet:malware site
http://aristografica.it/7DP86gXB.php	1	65	2015-10-29 05:29:03	ZeroCERT:malicious site
http://xukdisu.in/count27.php	1	67	2016-05-30 05:18:38	Kaspersky:malware site
http://kiykgfoh.ce.ms/count13.php	3	67	2016-06-13 03:43:16	AutoShun:malicious site Avira:malware site Sophos:malicious site
http://nikeeyb.com/stats.php	2	68	2016-09-07 10:32:13	SCUMWARE.org:malware site Fortinet:malware site
http://switch-motorbikeparts.nl/count.php	2	68	2016-11-06 09:25:52	BitDefender:malware site Sucuri SiteCheck:malicious site
http://carbili.com/count3.php	5	65	2017-08-12 22:53:17	Kaspersky:malware site BitDefender:malware site SCUMWARE.org:malware site Yandex Safebrowsing:malware site Fortinet:malware site
http://aremac.ca/wp-content/plugins/wp_add/RHopzlCl.php	2	68	2016-11-02 23:49:21	Dr.Web:malicious site Fortinet:malware site
http://85.10.235.43/cnt.php	4	63	2015-08-26 06:46:06	Google Safebrowsing:malware site BitDefender:phishing site Sophos:malicious site Fortinet:malware site
